Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Kole Calhoun,- - -,Kole Calhoun,2018,589,0.287707569,0.657649643,0.436692506,0.211886304,0.37209302,0.093378607,0.234295415,Kole Calhoun,11200,594777
Kolten Wong,- - -,Kolten Wong,2018,528,0.286438997,0.653921836,0.56,0.173333333,0.26847291,0.064393939,0.15340909,Kolten Wong,12532,543939
Kyle Schwarber,- - -,Kyle Schwarber,2018,907,0.318733755,0.723326919,0.410041841,0.182008368,0.36907216,0.135611907,0.315325248,Kyle Schwarber,16478,656941
Kyle Seager,SEA,Kyle Seager,2018,669,0.31775479,0.747966819,0.356043956,0.2,0.32603939,0.068759342,0.234678624,Kyle Seager,9785,572122
Kyle Tucker,HOU,Kyle Tucker,2018,779,0.357163585,0.845510764,0.384868421,0.157894736,0.3908046,0.073170731,0.136071887,Kyle Tucker,18345,663656
Lars Nootbaar,STL,Lars Nootbaar,2021,218,0.321184455,0.725757127,0.515151515,0.159090909,0.28148148,0.133027522,0.247706422,Lars Nootbaar,21454,663457
Luis Arraez,- - -,Luis Arraez,2019,509,0.309874622,0.696442817,0.495,0.22,0.25062035,0.09626719,0.110019646,Luis Arraez,18568,650333
Luis García Jr.,WSN,Luis García Jr.,2020,331,0.264859951,0.618993112,0.525896414,0.231075697,0.27559055,0.024169184,0.208459214,Luis Garcia Jr.,20391,671277
Mallex Smith,- - -,Mallex Smith,2018,284,0.31968544,0.727313167,0.589189189,0.194594594,0.21649485,0.073943661,0.228873239,Mallex Smith,13608,605480
Matt Carpenter,- - -,Matt Carpenter,2018,403,0.342991893,0.790568623,0.35371179,0.231441048,0.45147679,0.148883374,0.250620347,Matt Carpenter,8090,572761
Matt Olson,- - -,Matt Olson,2018,1093,0.339710749,0.797333004,0.390820584,0.173852573,0.39805825,0.091491308,0.232387923,Matt Olson,14344,621566
Max Kepler,MIN,Max Kepler,2018,728,0.303445049,0.697010292,0.393822393,0.198841698,0.32239382,0.089285714,0.18543956,Max Kepler,12144,596146
Max Muncy,LAD,Max Muncy,2018,857,0.347571269,0.810420422,0.407547169,0.18490566,0.40943396,0.12252042,0.233372228,Max Muncy,13301,571970
Michael Brantley,- - -,Michael Brantley,2018,688,0.294922298,0.670881462,0.508317929,0.225508317,0.32904412,0.058139534,0.13372093,Michael Brantley,4106,488726
Michael Conforto,- - -,Michael Conforto,2018,718,0.312714292,0.710339305,0.472727272,0.197727272,0.33106576,0.087743732,0.271587743,Michael Conforto,16376,624424
Michael Harris II,ATL,Michael Harris II,2022,274,0.314561546,0.724680723,0.57591623,0.172774869,0.29381443,0.03649635,0.240875912,Michael Harris II,25931,671739
Mike Moustakas,- - -,Mike Moustakas,2018,608,0.299963265,0.696631125,0.41723356,0.19047619,0.35135135,0.0625,0.185855263,Mike Moustakas,4892,519058
Mike Tauchman,- - -,Mike Tauchman,2018,214,0.315313577,0.70971234,0.462809917,0.297520661,0.29268293,0.116822429,0.294392523,Mike Tauchman,15274,643565
Mike Yastrzemski,SFG,Mike Yastrzemski,2019,515,0.298203067,0.689595358,0.427244582,0.170278637,0.27878788,0.081553398,0.266019417,Mike Yastrzemski,14854,573262
Mitch Moreland,- - -,Mitch Moreland,2018,236,0.27947358,0.640705816,0.561643835,0.171232876,0.28571429,0.080508474,0.288135593,Mitch Moreland,3086,519048
MJ Melendez,KCR,MJ Melendez,2022,270,0.307949169,0.708217123,0.433333333,0.205555555,0.35,0.066666666,0.259259259,MJ Melendez,22197,669004
Nathaniel Lowe,- - -,Nathaniel Lowe,2019,682,0.33844329,0.771924426,0.555555555,0.204081632,0.3446712,0.096774193,0.249266862,Nathaniel Lowe,19566,663993
Nick Markakis,ATL,Nick Markakis,2018,379,0.318656486,0.737147779,0.486394557,0.227891156,0.40136054,0.081794195,0.137203166,Nick Markakis,5930,455976
Nicky Lopez,- - -,Nicky Lopez,2019,479,0.265764337,0.594682965,0.593220338,0.214689265,0.24064171,0.056367432,0.144050104,Nicky Lopez,19339,670032
