Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Joey Gallo,Right,Left,2018,1757,0.33599206,0.783274421,0.288508557,0.19193154,0.40991536,0.163346613,0.360842344,Joey Gallo,14128,608336
Joey Votto,Right,Left,2018,1810,0.362447896,0.847674817,0.356720202,0.24852071,0.39729501,0.142541436,0.195027624,Joey Votto,4314,458015
Joey Wendle,Right,Left,2018,1745,0.309177192,0.719479197,0.489329268,0.210365853,0.33686601,0.045272206,0.178223495,Joey Wendle,13853,621563
Johan Camargo,Right,Left,2018,762,0.306056205,0.706362879,0.46654275,0.198884758,0.29814815,0.083989501,0.199475065,Johan Camargo,14950,622666
Jon Jay,Right,Left,2018,592,0.294827988,0.676257277,0.537777777,0.253333333,0.33913043,0.04054054,0.162162162,Jon Jay,5227,445055
Jonah Heim,Right,Left,2020,964,0.284010072,0.652196951,0.373913043,0.186956521,0.33719247,0.080912863,0.200207468,Jonah Heim,16930,641680
Jonathan Villar,Right,Left,2018,1510,0.314510505,0.724232281,0.539349422,0.185729275,0.2926078,0.094039735,0.254304635,Jonathan Villar,10071,542340
Jorge Polanco,Right,Left,2018,1866,0.352146276,0.822149151,0.326514555,0.231313926,0.33747091,0.109324758,0.194533762,Jorge Polanco,13152,593871
José Ramírez,Right,Left,2018,2452,0.374748863,0.898134079,0.328706274,0.212659633,0.3481153,0.126019575,0.130505709,Jose Ramirez,13510,608070
Josh Bell,Right,Left,2018,2287,0.343695171,0.805269307,0.500316656,0.189993666,0.36495889,0.114123305,0.187581985,Josh Bell,13145,605137
Josh Lowe,Right,Left,2021,588,0.351993417,0.82704139,0.380710659,0.223350253,0.2979798,0.06632653,0.256802721,Josh Lowe,19953,666139
Josh Naylor,Right,Left,2019,1203,0.338686901,0.800981363,0.455434782,0.197826086,0.35869565,0.070656691,0.157938487,Josh Naylor,18839,647304
Josh Reddick,Right,Left,2018,1021,0.297539884,0.689565751,0.375321336,0.219794344,0.31370038,0.084231145,0.144955925,Josh Reddick,3892,502210
Josh Rojas,Right,Left,2019,1241,0.307631411,0.701387217,0.428400954,0.233890214,0.31095406,0.099919419,0.210314262,Josh Rojas,19734,668942
Josh VanMeter,Right,Left,2019,720,0.284969171,0.650983341,0.358974358,0.202991452,0.38510638,0.104166666,0.238888888,Josh VanMeter,15170,642165
Juan Soto,Right,Left,2018,2292,0.41935603,0.999590842,0.489481065,0.18232819,0.3948468,0.210296684,0.160994764,Juan Soto,20123,665742
Jurickson Profar,Right,Left,2018,2091,0.311907029,0.712978463,0.424302788,0.218459495,0.3287037,0.098517455,0.160688665,Jurickson Profar,10815,595777
Justin Smoak,Right,Left,2018,854,0.343986009,0.804936452,0.35610766,0.198757763,0.4389234,0.153395784,0.272833723,Justin Smoak,9054,475253
