Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Jesús Aguilar,Right,Right,2018,1610,0.325634638,0.761976234,0.344545454,0.222727272,0.36454545,0.081366459,0.221118012,Jesus Aguilar,11342,542583
Joey Meneses,Right,Right,2022,634,0.321400184,0.742423916,0.492374727,0.200435729,0.32897603,0.061514195,0.209779179,Joey Meneses,14366,608841
Jon Berti,Right,Right,2018,1112,0.310552191,0.700338907,0.541944074,0.211717709,0.28269485,0.09442446,0.210431654,Jon Berti,12037,542932
Jonathan India,Right,Right,2021,1179,0.341954708,0.782684187,0.409921671,0.220626631,0.31640625,0.094147582,0.21798134,Jonathan India,21523,663697
Jonathan Lucroy,Right,Right,2018,553,0.28115694,0.637360224,0.453271028,0.226635514,0.35116279,0.074141048,0.133815551,Jonathan Lucroy,7870,518960
Jonathan Schoop,Right,Right,2018,1765,0.288583809,0.672902493,0.464230171,0.193623639,0.28826729,0.038526912,0.219263456,Jonathan Schoop,11265,570731
Jordy Mercer,Right,Right,2018,623,0.286744696,0.670965193,0.415704387,0.226327944,0.3202765,0.070626003,0.223113964,Jordy Mercer,6547,474568
Jorge Alfaro,Right,Right,2018,1159,0.285925769,0.658633368,0.526548672,0.210914454,0.36725664,0.042277825,0.343399482,Jorge Alfaro,12180,595751
Jorge Mateo,Right,Right,2020,731,0.268168088,0.615265321,0.383647798,0.197064989,0.26789366,0.053351573,0.265389876,Jorge Mateo,17273,622761
Jorge Soler,Right,Right,2018,1976,0.336193152,0.789405699,0.410066006,0.185643564,0.40924092,0.104251012,0.263663967,Jorge Soler,14221,624585
José Abreu,Right,Right,2018,2617,0.334692131,0.784420277,0.463878326,0.19934818,0.36284628,0.071073748,0.20519679,Jose Abreu,15676,547989
Jose Altuve,Right,Right,2018,2208,0.366827172,0.856017946,0.47309833,0.204081632,0.30755177,0.095108695,0.152173913,Jose Altuve,5417,514888
Jose Iglesias,Right,Right,2018,1548,0.306205391,0.708664765,0.489715189,0.223892405,0.2588513,0.036821705,0.128552971,Jose Iglesias,10231,578428
José Martínez,Right,Right,2018,794,0.330813693,0.762782147,0.489361702,0.258865248,0.38938053,0.084382871,0.198992443,Jose Martinez,7996,500874
José Peraza,Right,Right,2018,926,0.290845872,0.673326188,0.358649789,0.226441631,0.29755435,0.04211663,0.140388768,Jose Peraza,13593,606299
Jose Siri,Right,Right,2021,543,0.316540223,0.741203264,0.418461538,0.181538461,0.29003021,0.053406998,0.32596685,Jose Siri,17452,642350
Jose Trevino,Right,Right,2018,745,0.261103031,0.603299496,0.450530035,0.204946996,0.29173989,0.03624161,0.195973154,Jose Trevino,16725,624431
Josh Donaldson,Right,Right,2018,1670,0.333677138,0.777287382,0.430754536,0.185291308,0.39350525,0.123952095,0.24011976,Josh Donaldson,5038,518626
Josh Harrison,Right,Right,2018,1223,0.29616373,0.674301023,0.393709327,0.220173535,0.27438371,0.053147996,0.158626328,Josh Harrison,8202,543281
Julio Rodríguez,Right,Right,2022,970,0.354962916,0.83242726,0.48030303,0.168181818,0.37727273,0.06185567,0.239175257,Julio Rodriguez,23697,677594
Justin Turner,Right,Right,2018,2049,0.357361253,0.827270358,0.345333333,0.244666666,0.37308461,0.090775988,0.152757442,Justin Turner,5235,457759
Justin Upton,Right,Right,2018,1031,0.33261925,0.773050107,0.403908794,0.185667752,0.40716612,0.102812803,0.283220174,Justin Upton,5222,457708
Ke'Bryan Hayes,Right,Right,2020,1096,0.302395775,0.691577582,0.476572958,0.200803212,0.3355615,0.078467153,0.234489051,Ke'Bryan Hayes,18577,663647
Keston Hiura,Right,Right,2019,743,0.355462891,0.840329783,0.389162561,0.221674876,0.41421569,0.068640646,0.344549125,Keston Hiura,20003,669374
Kevin Newman,Right,Right,2018,1334,0.274296142,0.631986778,0.490636704,0.205056179,0.23268698,0.047976011,0.133433283,Kevin Newman,17696,621028
Kevin Pillar,Right,Right,2018,1324,0.29228883,0.684564018,0.405811623,0.224448897,0.342,0.033987915,0.192598187,Kevin Pillar,12434,607680
Kevin Plawecki,Right,Right,2018,631,0.30250354,0.684759198,0.428899082,0.185779816,0.31890661,0.08399366,0.194928684,Kevin Plawecki,13807,608700
Khris Davis,Right,Right,2018,973,0.311794254,0.735663366,0.383223684,0.169407894,0.4375,0.076053442,0.285714285,Khris Davis,9112,501981
