Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,LD%,GB%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Martín Maldonado,Left,Right,2018,632,0.312447498,0.723421221,0.222513089,0.387434554,0.38817481,0.080696202,0.287974683,Martin Maldonado,6887,455117
Marwin Gonzalez,Left,Right,2018,521,0.304482208,0.708493917,0.252631578,0.431578947,0.34293194,0.053742802,0.209213051,Marwin Gonzalez,5497,503556
Matt Chapman,Left,Right,2018,818,0.347773096,0.813862605,0.182692307,0.373076923,0.41538462,0.105134474,0.25183374,Matt Chapman,16505,656305
Matt Duffy,Left,Right,2018,524,0.304913996,0.675589547,0.223118279,0.486559139,0.28533333,0.099236641,0.169847328,Matt Duffy,13836,622110
Matt Kemp,Left,Right,2018,268,0.354023216,0.838162426,0.259668508,0.309392265,0.45303867,0.074626865,0.25,Matt Kemp,5631,461314
Matt Vierling,Left,Right,2021,325,0.319841081,0.736428208,0.257142857,0.41632653,0.32793522,0.076923076,0.156923076,Matt Vierling,21558,663837
Mauricio Dubón,Left,Right,2019,365,0.345892832,0.809257176,0.240418118,0.418118466,0.28082192,0.060273972,0.134246575,Mauricio Dubon,16530,643289
Max Stassi,Left,Right,2018,400,0.264093475,0.593710398,0.179282868,0.494023904,0.39285714,0.095,0.2675,Max Stassi,10059,545358
Michael A. Taylor,Left,Right,2018,600,0.317781444,0.738740968,0.228412256,0.420612813,0.36512262,0.071666666,0.311666666,Michael A. Taylor,11489,572191
Michael Chavis,Left,Right,2019,470,0.302825944,0.71617212,0.201365187,0.460750853,0.32312925,0.040425531,0.329787234,Michael Chavis,17321,656308
Miguel Andujar,Left,Right,2018,364,0.307722746,0.724134052,0.169064748,0.424460431,0.29496403,0.049450549,0.184065934,Miguel Andujar,15878,609280
Miguel Cabrera,Left,Right,2018,548,0.342481825,0.785098211,0.260162601,0.471544715,0.37398374,0.114963503,0.209854014,Miguel Cabrera,1744,408234
Miguel Rojas,Left,Right,2018,759,0.328245347,0.758967856,0.237942122,0.413183279,0.31469649,0.069828722,0.089591567,Miguel Rojas,7802,500743
Miguel Sanó,Left,Right,2018,449,0.315601065,0.735269532,0.222222222,0.374485596,0.4526749,0.109131403,0.347438752,Miguel Sano,12164,593934
Mike Brosseau,Left,Right,2019,383,0.337900329,0.790347702,0.190082644,0.371900826,0.38429752,0.070496083,0.281984334,Mike Brosseau,19683,670712
Mike Trout,Left,Right,2018,674,0.394040313,0.938014863,0.27012987,0.345454545,0.37922078,0.176557863,0.238872403,Mike Trout,10155,545361
Mike Zunino,Left,Right,2018,466,0.318394303,0.745546825,0.192156862,0.286274509,0.35686275,0.096566523,0.35193133,Mike Zunino,13265,572287
Mitch Garver,Left,Right,2018,515,0.37770129,0.891284454,0.21021021,0.318318318,0.40840841,0.137864077,0.205825242,Mitch Garver,15161,641598
Mitch Haniger,Left,Right,2018,632,0.366823323,0.869536016,0.217391304,0.410628019,0.38888889,0.104430379,0.232594936,Mitch Haniger,14274,571745
Mookie Betts,Left,Right,2018,921,0.401936603,0.959249806,0.204018547,0.315301391,0.42658423,0.145494028,0.14766558,Mookie Betts,13611,605141
Myles Straw,Left,Right,2019,560,0.267016348,0.590092568,0.283919597,0.442211055,0.2377451,0.085714285,0.185714285,Myles Straw,17620,664702
