Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Avisaíl García,- - -,Avisaíl García,2018,1561,0.300547924,0.701649141,0.494796594,0.193945127,0.3320719,0.047405509,0.255605381,Avisail Garcia,5760,541645
Bo Bichette,TOR,Bo Bichette,2019,1846,0.345139113,0.805363164,0.478518518,0.22074074,0.3562963,0.049295774,0.213976164,Bo Bichette,19612,666182
Bobby Dalbec,BOS,Bobby Dalbec,2020,599,0.292445332,0.6783702,0.408408408,0.183183183,0.34234234,0.07178631,0.358931552,Bobby Dalbec,19966,666915
Bobby Witt Jr.,KCR,Bobby Witt Jr.,2022,1030,0.326531155,0.76484165,0.374512353,0.179453836,0.33592737,0.056310679,0.18737864,Bobby Witt Jr.,25764,677951
Brandon Dixon,- - -,Brandon Dixon,2018,456,0.288867642,0.682573511,0.358974358,0.245421245,0.39194139,0.048245614,0.33991228,Brandon Dixon,15214,641525
Brandon Drury,- - -,Brandon Drury,2018,1234,0.309493172,0.723395633,0.428235294,0.192941176,0.34,0.063209076,0.235008103,Brandon Drury,11615,592273
Brendan Rodgers,COL,Brendan Rodgers,2019,892,0.293367212,0.672967015,0.528771384,0.188180404,0.34525661,0.056053811,0.21412556,Brendan Rodgers,17907,663898
Brent Rooker,- - -,Brent Rooker,2020,514,0.323247556,0.754510468,0.359861591,0.197231833,0.36678201,0.081712062,0.330739299,Brent Rooker,19627,667670
Brenton Doyle,COL,Brenton Doyle,2023,299,0.260727248,0.597441077,0.473988439,0.190751445,0.38674033,0.056856187,0.327759197,Brenton Doyle,25479,686668
Brian Anderson,- - -,Brian Anderson,2018,1842,0.32915124,0.755960697,0.497921862,0.187032418,0.36325852,0.095005428,0.230184581,Brian Anderson,18289,605119
Brian Dozier,- - -,Brian Dozier,2018,786,0.310891176,0.719305232,0.366223908,0.176470588,0.37689394,0.106870229,0.212468193,Brian Dozier,9810,572821
Bryan De La Cruz,MIA,Bryan De La Cruz,2021,895,0.319867355,0.74495566,0.423809523,0.239682539,0.36507937,0.058100558,0.232402234,Bryan De La Cruz,19600,650559
Bryan Holaday,- - -,Bryan Holaday,2018,264,0.285977689,0.658809691,0.423913043,0.239130434,0.29189189,0.075757575,0.204545454,Bryan Holaday,11287,592407
Buster Posey,SFG,Buster Posey,2018,945,0.330806047,0.756649906,0.481590574,0.243004418,0.33970588,0.104761904,0.168253968,Buster Posey,9166,457763
Byron Buxton,MIN,Byron Buxton,2018,1100,0.337938991,0.803724954,0.325714285,0.182857142,0.36595745,0.07,0.273636363,Byron Buxton,14161,621439
C.J. Cron,- - -,C.J. Cron,2018,1826,0.336291749,0.786748017,0.410130718,0.198529411,0.36928105,0.073384446,0.234392113,C.J. Cron,12546,543068
Cam Gallagher,- - -,Cam Gallagher,2018,412,0.261681783,0.593876542,0.388489208,0.237410071,0.23344948,0.058252427,0.233009708,Cam Gallagher,12981,595956
Cameron Maybin,- - -,Cameron Maybin,2018,503,0.322931106,0.741990023,0.462025316,0.240506329,0.36050157,0.099403578,0.258449304,Cameron Maybin,5223,457727
Carlos Correa,- - -,Carlos Correa,2018,2038,0.330830249,0.772707085,0.448023426,0.197657393,0.35724744,0.092737978,0.229146221,Carlos Correa,14162,621043
Carlos Gómez,- - -,Carlos Gómez,2018,343,0.285583687,0.647298555,0.37,0.16,0.33488372,0.069970845,0.274052478,Carlos Gomez,4881,460576
Carson Kelly,- - -,Carson Kelly,2018,925,0.276550619,0.63026496,0.404838709,0.191935483,0.33173077,0.096216216,0.218378378,Carson Kelly,13620,608348
Carter Kieboom,WSN,Carter Kieboom,2019,336,0.250048674,0.552295918,0.531914893,0.143617021,0.25789474,0.101190476,0.31547619,Carter Kieboom,19958,666198
Chad Pinder,OAK,Chad Pinder,2018,747,0.277386058,0.640746874,0.471193415,0.199588477,0.32244898,0.052208835,0.281124497,Chad Pinder,15191,640461
Chad Wallach,- - -,Chad Wallach,2018,290,0.231441307,0.522648082,0.431137724,0.191616766,0.29411765,0.062068965,0.344827586,Chad Wallach,17161,595453
Charlie Culberson,- - -,Charlie Culberson,2018,468,0.283128934,0.657124267,0.494584837,0.173285198,0.31338028,0.07051282,0.309829059,Charlie Culberson,3298,518586
Chas McCormick,HOU,Chas McCormick,2021,841,0.314703207,0.719474392,0.438247011,0.199203187,0.31372549,0.091557669,0.286563614,Chas McCormick,19599,676801
Cheslor Cuthbert,KCR,Cheslor Cuthbert,2018,316,0.246234581,0.56135543,0.461206896,0.142241379,0.34051724,0.069620253,0.189873417,Cheslor Cuthbert,10473,596144
Chris Iannetta,COL,Chris Iannetta,2018,315,0.317952678,0.750227478,0.394594594,0.227027027,0.40322581,0.104761904,0.285714285,Chris Iannetta,8267,455104
Chris Owings,- - -,Chris Owings,2018,380,0.206412493,0.458881754,0.508849557,0.146017699,0.33913043,0.078947368,0.307894736,Chris Owings,10030,572008
Chris Taylor,LAD,Chris Taylor,2018,1750,0.327342182,0.754851163,0.350687622,0.263261296,0.33624031,0.091428571,0.304,Chris Taylor,13757,621035
Christian Arroyo,- - -,Christian Arroyo,2018,547,0.309926729,0.71427311,0.495,0.2,0.30693069,0.054844606,0.188299817,Christian Arroyo,16434,624414
Christian Bethancourt,- - -,Christian Bethancourt,2022,461,0.283074845,0.659190716,0.455108359,0.160990712,0.33738602,0.026030368,0.260303687,Christian Bethancourt,10028,542194
Christian Vázquez,- - -,Christian Vázquez,2018,1609,0.291528638,0.668204991,0.427969671,0.232518955,0.27401838,0.062771908,0.187072715,Christian Vazquez,9774,543877
